ऋ,स्वरः,मूर्धा,विवृतः,उदात्तः,ह्रस्वः,निरनुनासिकः
ऋ॒,स्वरः,मूर्धा,विवृतः,अनुदात्तः,ह्रस्वः,निरनुनासिकः
ऋ॑,स्वरः,मूर्धा,विवृतः,स्वरितः,ह्रस्वः,निरनुनासिकः
ऋँ,स्वरः,मूर्धा+नासिका,विवृतः,उदात्तः,ह्रस्वः,अनुनासिकः
ऋँ॒,स्वरः,मूर्धा+नासिका,विवृतः,अनुदात्तः,ह्रस्वः,अनुनासिकः
ऋँ॑,स्वरः,मूर्धा+नासिका,विवृतः,स्वरितः,ह्रस्वः,अनुनासिकः
ॠ,स्वरः,मूर्धा,विवृतः,उदात्तः,दीर्घः,निरनुनासिकः
ॠ॒,स्वरः,मूर्धा,विवृतः,अनुदात्तः,दीर्घः,निरनुनासिकः
ॠ॑,स्वरः,मूर्धा,विवृतः,स्वरितः,दीर्घः,निरनुनासिकः
ॠँ,स्वरः,मूर्धा+नासिका,विवृतः,उदात्तः,दीर्घः,अनुनासिकः
ॠँ॒,स्वरः,मूर्धा+नासिका,विवृतः,अनुदात्तः,दीर्घः,अनुनासिकः
ॠँ॑,स्वरः,मूर्धा+नासिका,विवृतः,स्वरितः,दीर्घः,अनुनासिकः
ऋ३,स्वरः,मूर्धा,विवृतः,उदात्तः,प्लुतः,निरनुनासिकः
ऋ॒३,स्वरः,मूर्धा,विवृतः,अनुदात्तः,प्लुतः,निरनुनासिकः
ऋ॑३,स्वरः,मूर्धा,विवृतः,स्वरितः,प्लुतः,निरनुनासिकः
ऋँ३,स्वरः,मूर्धा+नासिका,विवृतः,उदात्तः,प्लुतः,अनुनासिकः
ऋँ॒३,स्वरः,मूर्धा+नासिका,विवृतः,अनुदात्तः,प्लुतः,अनुनासिकः
ऋँ॑३,स्वरः,मूर्धा+नासिका,विवृतः,स्वरितः,प्लुतः,अनुनासिकः
ऌ,स्वरः,दन्ताः,विवृतः,उदात्तः,ह्रस्वः,निरनुनासिकः
ऌ॒,स्वरः,दन्ताः,विवृतः,अनुदात्तः,ह्रस्वः,निरनुनासिकः
ऌ॑,स्वरः,दन्ताः,विवृतः,स्वरितः,ह्रस्वः,निरनुनासिकः
ऌँ,स्वरः,दन्ताः+नासिका,विवृतः,उदात्तः,ह्रस्वः,अनुनासिकः
ऌँ॒,स्वरः,दन्ताः+नासिका,विवृतः,अनुदात्तः,ह्रस्वः,अनुनासिकः
ऌँ॑,स्वरः,दन्ताः+नासिका,विवृतः,स्वरितः,ह्रस्वः,अनुनासिकः
ऌ३,स्वरः,दन्ताः,विवृतः,उदात्तः,प्लुतः,निरनुनासिकः
